symbol,description
MU,"Micron Technology, Inc. designs, develops, manufactures, and sells memory and storage products in the United States, Taiwan, Japan, Mainland China, Hong Kong, Europe, and internationally."
FBIO,"Fortress Biotech, Inc. engages in the manufacture and commercialization of novel pharmaceutical products and product candidates. "
NRDS,"NerdWallet, Inc. engages in building online tools that provide information, insights, and consumer-driven advice about personal finance. "
CALM,"Cal-Maine Foods, Inc. engages in the production, grading, packing, marketing, and distribution of shell eggs. It operates farms, processing plants, hatcheries, feed mills, warehouses, offices and other properties. I"
SENEA,"Seneca Foods Corp. engages in the processing and sale of packaged fruits and vegetables. It offers canned, frozen and bottled produce, and snack chips products. "
FUBO,"FuboTV, Inc. is a consumer-first live TV streaming company with the mission of delivering premium sports, news and entertainment programming that offers greater choice, flexibility and value. "
MMS,"MAXIMUS, Inc. engages in the operation of government health and human services programs, and the provision of technology solutions to government. "
DOX,"Amdocs Ltd. is a holding company, which engages in the provision of software products and services for communications, entertainment, and media industry service providers."
INVA,"Innoviva, Inc. engages in the development, commercialization, and financial management of biopharmaceuticals. "
PRDO,"Perdoceo Education Corp. engages in the provision of educational services. It operates through the following segments: Colorado Technical University (CTU), The American InterContinental University System (AIUS or AIU System), and University of St. Augustine for Health Sciences (USAHS), Corporate and Other. "
LRN,"Stride, Inc. is a technology-based educational company, which engages in the provision of proprietary and third-party curriculum, software systems and educational services. "
ADBE,"Adobe, Inc. is a global technology company, which engages in the provision of digital marketing and media solutions."
GCT,"GigaCloud Technology, Inc. specializes in global end-to-end business-to-business (B2B) electronic commerce (e-commerce) for large parcel merchandise. "
AU,"Anglogold Ashanti Plc is a holding company, which engages in the operation and exploration of gold mining projects through its subsidiary. "
BSM,"Black Stone Minerals LP is an exploration company, which engages in the exploration of oil and natural gas minerals. "
BKE,"The Buckle, Inc. engages in the business of retailing casual apparel, footwear, and accessories for young men, women, and kids. "
UHS,"Universal Health Services, Inc. engages in providing hospital and healthcare services. "
NEM,"Newmont Corp. engages in the exploration and acquisition of gold properties, containing copper, silver, lead, zinc or other metals. "
INTU,"Intuit, Inc. engages in the provision of business and financial management solutions. "
TTD,"The Trade Desk, Inc. engages in the provision of a self-service and cloud-based ad-buying platform. "
